[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\CMS.MessageBoard.dll
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\CMS.Newsletter.dll
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\CMS.ResourceManager.dll
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\CMS.SettingsProvider.dll
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\CMS.SocialNetworking.dll
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\CMS.VirtualPathHelper.dll
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\CMS.WebFarmSyncHelper.dll
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\DotNetOpenAuth.dll.rename
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\Google.Apis.Authentication.OAuth2.dll
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\Google.Apis.dll
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\Google.Apis.Plus.v1.dll
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\Lucene.Net.dll
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\Microsoft.WindowsAzure.StorageClient.dll
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\Newtonsoft.Json.Net35.dll
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\System.Web.Routing.dll
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\WebInstallerHelper.dll
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\ClientBin\ProductList.xap
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\images\spacer.gif
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\lang\_languages.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\lang\_translationstatus.txt
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\cs.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\cy.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\da.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\de.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\el.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\en.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\eo.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\fa.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\fi.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\fr.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\gu.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\he.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\it.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\mk.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\nb.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\nl.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\no.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\tr.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\ug.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\vi.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\zh-cn.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\a11yhelp\lang\_translationstatus.txt
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\adobeair\plugin.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\ajax\plugin.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\bbcode\plugin.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\CMSPlugins\images\CMSInline_bg.gif
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\CMSPlugins\images\InsertFlash_bg.gif
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\CMSPlugins\images\InsertForms.gif
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\CMSPlugins\images\InsertGroupPolls.gif
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\CMSPlugins\images\InsertImage.gif
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\CMSPlugins\images\InsertImageOrMedia.gif
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\CMSPlugins\images\InsertImageOrMediaOld_bg.gif
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\CMSPlugins\images\InsertImageOrMedia_bg.gif
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\CMSPlugins\images\InsertImage_bg.gif
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\CMSPlugins\images\InsertInlineControls.gif
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\CMSPlugins\images\InsertLink.gif
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\CMSPlugins\images\InsertMacro.gif
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\CMSPlugins\images\InsertPolls.gif
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\CMSPlugins\images\InsertQuote.gif
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\CMSPlugins\images\InsertRating.gif
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\CMSPlugins\images\InsertUrl.gif
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\CMSPlugins\images\InsertWidget.gif
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\CMSPlugins\images\InsertWidget_bg.gif
